attr1,attr3,attr4,attr5,attr9,attr32,attr33,attr34,attr35,attr37,class
0,1,0,0,0,0,3.200,1320.0,0,0,0
1,1,0,0,0,1,0.600,610.0,4880,0,0
0,1,0,0,0,1,0.999,1220.0,762,0,0
0,0,0,0,0,0,1.600,50.0,0,0,0
0,1,0,0,0,1,1.200,335.0,4170,0,0
2,1,0,0,0,1,1.200,1250.0,4880,0,0
0,5,0,0,310,0,2.500,1274.9,0,2,0
0,0,0,0,0,0,0.700,610.0,0,0,0
0,6,0,0,0,1,0.800,1320.0,1,0,0
0,1,0,85,0,0,3.200,609.9,0,0,1
1,1,0,0,0,0,1.600,50.0,0,0,0
0,1,0,0,0,1,0.699,610.0,4880,0,0
0,1,0,0,0,1,1.599,1300.0,4880,0,0
0,1,0,0,0,1,0.700,610.0,4880,0,0
0,1,0,0,0,0,0.600,1320.0,0,0,0
0,1,0,0,0,1,0.600,1220.0,762,0,0
2,0,0,0,300,0,0.800,915.1,0,0,1
0,1,0,85,0,0,4.000,1000.0,0,2,1
0,2,65,0,0,0,1.500,640.0,0,0,0
1,1,0,0,0,1,1.200,335.0,612,0,0
0,1,0,0,0,1,0.600,520.0,4880,0,0
0,1,0,0,0,0,1.600,1320.0,0,0,0
0,0,0,0,0,0,3.200,1320.0,0,0,0
0,1,0,0,0,0,0.400,20.0,0,0,0
0,1,0,0,0,1,0.300,610.0,4880,0,0
0,1,0,0,0,1,0.600,610.0,4880,0,0
0,1,0,0,0,1,0.699,520.0,4880,0,0
0,1,0,45,0,1,0.300,610.0,762,0,0
0,0,0,0,0,0,0.699,610.0,0,0,0
0,0,0,0,0,1,3.200,610.0,762,0,0
2,1,0,50,0,0,0.600,1250.0,0,0,0
0,1,0,0,0,0,1.600,1320.0,0,0,0
0,1,0,0,0,1,0.300,1320.0,762,0,0
0,0,0,0,0,1,0.699,610.0,762,0,0
0,0,0,0,0,0,0.901,966.1,0,0,0
0,0,0,0,0,1,0.300,595.0,4880,0,0
0,1,0,0,0,1,0.600,1220.0,4880,0,0
0,1,0,0,0,1,0.699,609.9,4880,0,0
0,4,70,0,0,1,2.000,1000.0,4880,0,0
0,1,0,0,0,1,1.000,610.0,4880,0,0
0,2,55,0,0,0,1.000,900.0,0,0,0
0,1,0,45,0,0,0.700,1320.0,0,0,0
0,0,0,0,0,0,1.600,1320.0,0,0,0
0,1,0,45,0,1,1.600,610.0,762,0,0
0,2,55,0,0,0,2.300,900.0,0,1,0
0,0,0,0,0,1,0.800,1300.0,762,0,0
0,1,0,50,0,0,0.601,610.0,0,0,0
0,0,0,0,0,1,3.200,1320.0,762,0,0
0,3,0,0,600,0,1.300,1090.0,0,0,0
0,1,0,0,0,1,0.699,520.0,4880,0,0
0,3,0,0,600,1,0.900,610.0,1220,0,0
0,0,0,0,0,1,3.200,1300.0,762,0,0
0,3,0,0,350,0,1.399,609.9,0,0,0
0,0,0,0,0,1,1.599,610.0,761,0,0
0,1,0,0,0,0,0.699,610.0,0,0,0
0,0,0,0,0,0,0.700,1220.0,0,0,0
0,0,0,0,0,0,0.699,1320.0,0,0,0
0,1,0,45,0,1,0.599,610.0,761,0,0
0,1,0,0,0,1,0.699,610.0,400,0,0
0,1,0,45,0,1,1.600,1320.0,612,0,0
0,1,0,45,0,0,0.301,1320.0,0,0,0
0,2,65,0,0,0,3.200,640.0,0,1,0
0,1,0,0,0,1,0.600,610.0,762,0,0
1,1,0,0,0,0,0.600,249.9,0,0,0
0,0,0,0,0,0,0.700,610.0,0,0,0
0,0,0,0,0,1,3.200,1300.0,762,0,0
0,1,0,0,0,1,1.599,1320.0,762,0,0
0,1,0,0,0,0,0.800,609.9,0,0,0
0,1,0,60,0,0,1.900,1135.0,0,2,0
0,6,0,0,0,0,0.699,609.9,0,0,0
0,1,0,0,0,0,0.699,610.0,0,0,0
0,0,0,0,0,1,0.800,1320.0,762,0,0
0,0,0,0,0,0,0.901,966.0,0,0,0
0,1,0,0,0,1,0.700,610.0,762,0,0
2,1,0,0,0,0,0.800,75.0,0,0,0
0,0,0,0,0,1,0.700,1320.0,762,0,0
2,1,0,50,0,1,0.601,1250.0,762,0,0
0,1,0,60,0,0,0.799,609.0,0,0,0
0,0,6,0,0,1,1.000,610.0,4880,0,0
2,1,0,50,0,0,0.600,20.0,0,0,0
0,2,45,0,0,0,0.600,900.0,0,0,0
0,0,6,0,0,1,1.000,610.0,762,0,0
1,1,0,0,0,0,0.600,50.0,0,0,0
0,5,0,0,310,1,2.500,1274.9,762,0,0
0,1,0,60,0,1,0.801,255.1,270,0,0
0,0,0,0,0,1,1.600,1500.0,4170,0,0
0,0,0,0,0,1,0.800,610.0,4880,0,0
0,1,0,0,0,0,0.600,20.0,0,0,0
0,1,0,0,0,0,0.700,1320.0,0,0,0
0,1,0,0,0,1,0.700,1220.0,4880,0,0
0,1,0,85,0,1,0.300,1220.0,762,0,1
0,1,0,0,0,0,3.200,610.0,0,0,0
0,1,0,0,0,1,0.601,610.0,762,0,0
0,0,0,0,0,0,0.321,610.0,0,0,0
0,1,0,0,0,0,0.601,1220.0,0,0,0
0,0,0,0,0,0,0.699,610.0,0,0,0
0,0,0,0,0,1,3.200,150.0,4880,0,0
0,1,0,0,0,1,0.700,1220.0,762,0,0
0,1,0,85,0,0,3.200,1220.0,0,0,1
0,0,0,0,0,1,0.800,1320.0,762,0,0
0,4,0,0,400,0,0.800,609.9,0,0,1
0,1,0,0,0,1,1.200,610.0,4170,0,0
0,1,0,0,0,1,0.699,1320.0,761,0,0
0,0,0,0,0,1,0.800,1320.0,4880,0,0
0,0,0,0,0,1,3.200,150.0,762,0,0
0,3,0,0,600,1,1.299,1050.0,1220,0,0
0,0,0,0,0,1,3.200,1300.0,4880,0,0
0,0,0,0,0,1,0.600,375.0,4880,0,0
0,1,0,0,0,1,0.700,610.0,762,0,0
0,0,6,0,0,0,1.200,1220.0,0,0,0
0,4,0,0,400,0,1.000,75.0,0,0,1
0,0,6,0,0,1,1.000,1320.0,762,0,0
0,1,0,70,0,0,2.500,610.0,0,2,0
0,0,0,0,0,1,0.800,610.0,4880,0,0
0,0,0,0,0,1,0.600,520.0,762,0,0
0,1,0,0,0,1,0.300,1320.0,4880,0,0
0,1,0,0,0,0,0.700,610.0,0,0,0
0,0,0,0,0,1,1.000,610.0,4880,0,0
0,0,0,0,0,0,1.601,1320.0,0,0,0
0,0,0,0,0,1,0.301,610.0,762,0,0
0,0,0,0,0,1,1.200,609.9,612,0,0
0,0,0,0,0,1,0.800,1500.0,4170,0,0
0,1,0,45,0,1,0.700,1300.0,762,0,0
0,0,0,0,0,0,1.201,50.0,0,0,0
0,1,0,0,0,1,0.750,610.0,4880,0,0
0,0,0,0,0,1,0.700,374.9,762,0,0
0,0,0,0,500,0,1.600,609.9,0,0,0
0,0,0,0,0,1,0.800,610.0,4880,0,0
0,2,65,0,0,0,1.090,900.0,0,0,0
0,0,0,0,0,0,0.699,1320.0,0,0,0
0,0,0,0,0,1,0.700,150.0,762,0,0
0,2,55,0,0,0,2.200,900.0,0,0,0
0,6,0,0,0,1,0.700,610.0,4880,0,0
0,1,4,0,0,0,1.000,25.0,0,0,0
0,0,0,0,0,0,0.699,610.0,0,0,0
0,1,0,0,0,0,0.700,610.0,0,0,0
0,0,0,0,0,1,1.599,1320.0,4880,0,0
0,6,0,0,0,1,0.700,1320.0,762,0,0
0,0,0,0,0,1,3.200,1320.0,4880,0,0
0,0,0,0,0,1,0.699,1320.0,762,0,0
0,1,0,50,0,0,0.601,610.0,0,0,0
1,1,0,0,0,1,0.600,610.0,761,0,0
0,0,0,0,0,0,3.200,610.0,0,0,0
0,2,65,0,0,0,2.300,900.0,0,2,0
0,1,0,0,0,1,0.600,300.1,4880,0,0
0,1,0,0,0,1,0.699,300.1,4880,0,0
0,0,0,0,0,0,4.000,610.0,0,2,0
0,0,0,0,0,1,1.599,610.0,762,0,0
2,1,0,85,0,1,0.400,1220.0,762,0,1
0,3,0,0,350,0,1.601,609.9,0,0,0
0,1,0,45,0,1,0.400,1220.0,300,0,0
2,0,0,0,0,0,1.600,1220.0,0,0,0
0,0,0,0,0,1,0.700,1300.0,762,0,0
0,1,0,85,0,1,0.300,1220.0,4880,0,1
1,1,0,0,0,1,1.600,1220.0,761,0,0
0,1,0,0,0,0,0.400,610.0,0,0,0
0,1,0,45,0,1,0.300,610.0,762,0,0
0,0,6,0,0,0,1.000,610.0,0,0,0
0,1,0,0,0,1,0.700,610.0,4880,0,0
0,4,0,0,400,0,0.800,75.0,0,0,1
0,1,0,0,0,0,2.500,1320.0,0,0,0
2,1,0,50,0,1,1.600,1250.0,4880,0,0
0,1,0,0,0,0,0.700,610.0,0,0,0
0,1,0,0,0,1,0.700,1320.1,762,0,0
0,0,0,0,0,0,3.201,385.1,0,0,0
0,0,0,0,0,1,1.600,500.0,4880,0,0
0,1,0,0,0,0,4.000,500.0,0,0,0
0,1,0,0,0,0,0.400,609.9,0,0,0
0,0,0,0,0,1,1.600,610.0,4170,0,0
0,1,0,45,0,1,1.600,1300.0,4880,0,0
0,0,0,0,0,0,3.200,50.0,0,0,0
0,1,0,80,0,0,0.500,29.0,0,0,0
2,1,0,85,0,1,1.200,1200.0,611,0,1
0,1,0,60,0,0,2.801,355.0,0,0,0
0,1,0,85,0,0,4.000,610.0,0,1,1
0,1,0,0,0,1,0.699,609.9,0,0,0
0,2,65,0,0,0,1.500,900.0,0,0,0
0,0,0,0,0,0,4.000,1000.0,0,2,0
2,0,0,0,300,0,0.800,915.0,0,0,1
0,1,0,0,0,0,0.700,610.0,0,0,0
0,1,0,85,0,0,3.201,610.0,0,2,1
0,1,0,0,0,1,1.000,1320.0,762,0,0
0,0,0,0,0,0,0.400,1320.0,0,0,0
1,1,0,0,0,1,1.600,610.0,762,0,0
0,1,0,0,0,0,0.700,610.0,0,0,0
2,1,0,85,0,1,0.400,1220.0,0,0,1
0,2,65,0,0,0,3.200,900.0,0,1,0
0,0,0,0,0,1,1.599,1500.0,612,0,0
0,0,0,0,0,1,0.800,1320.0,4880,0,0
0,1,0,0,0,0,2.500,1320.0,0,0,0
0,1,0,0,0,0,0.800,900.1,0,0,0
0,0,0,0,0,0,4.000,385.1,0,0,0
0,1,0,0,0,1,0.600,610.0,4880,0,0
0,1,0,0,0,1,0.700,375.0,612,0,0
0,1,0,0,0,0,0.300,1320.0,0,0,0
0,0,0,0,0,0,3.200,610.0,0,0,0
0,1,0,85,0,0,1.201,1220.0,0,0,1
0,1,0,45,0,1,0.700,1320.0,762,0,0
0,0,0,0,0,0,0.800,610.0,0,0,0
0,1,0,45,0,0,0.699,610.0,0,0,0
0,3,0,0,350,0,1.600,609.9,0,0,0
0,2,65,0,0,0,1.090,610.0,0,0,0
0,1,0,45,0,1,0.300,610.0,4880,0,0
0,1,0,0,0,1,1.200,609.9,612,0,0
0,2,65,0,0,0,0.600,900.0,0,0,0
0,0,0,0,0,1,2.000,1500.0,612,0,0
0,6,0,0,0,0,0.800,20.0,0,0,0
0,2,45,0,0,0,0.600,900.0,0,0,0
0,1,0,0,0,1,0.999,1220.0,4880,0,0
0,0,0,0,0,1,1.599,1320.0,4880,0,0
0,0,0,0,0,1,2.000,610.0,612,0,0
0,0,6,0,0,1,0.600,610.0,762,0,0
0,1,0,0,0,1,0.600,609.9,762,0,0
0,3,0,0,350,0,0.900,610.0,0,0,0
0,0,0,0,0,1,1.599,610.0,4880,0,0
2,1,0,50,0,0,0.400,1320.0,0,0,0
0,0,0,0,0,1,1.200,335.0,612,0,0
0,4,0,0,700,0,1.000,609.9,0,0,1
0,3,0,0,600,1,0.900,1050.0,1220,0,0
0,1,0,0,0,0,1.201,75.0,0,0,0
0,3,0,0,600,0,1.300,1090.0,0,0,0
0,1,0,0,0,0,0.700,20.0,0,0,0
0,1,0,85,0,0,1.201,610.0,0,0,1
0,1,0,0,0,1,0.300,610.0,762,0,0
0,1,0,45,0,1,0.599,1320.0,761,0,0
0,5,0,0,310,1,1.600,610.0,762,0,0
0,1,0,0,0,0,0.699,1320.0,0,0,0
0,2,55,0,0,0,1.090,610.0,0,0,0
0,2,65,0,0,0,0.800,900.0,0,0,0
0,1,0,0,500,0,1.600,1320.0,0,0,0
0,6,0,0,0,1,1.599,1320.0,762,0,0
0,1,0,0,0,1,3.200,1320.0,4880,0,0
2,1,0,0,0,1,0.700,335.0,612,0,0
0,1,0,0,0,1,0.699,1320.0,762,0,0
0,1,0,45,0,1,0.699,1220.0,761,0,0
0,2,55,0,0,0,1.090,900.0,0,0,0
0,1,0,60,0,1,0.801,255.1,269,0,0
2,1,0,85,0,1,1.200,600.0,150,0,1
0,1,0,0,0,1,0.699,610.0,762,0,0
0,0,0,0,0,1,1.600,831.9,881,0,0
2,0,0,0,0,0,0.699,20.0,0,0,0
0,1,0,0,0,0,0.321,610.0,0,0,0
0,5,0,0,310,1,0.800,1275.0,4880,0,0
0,1,0,0,0,1,0.699,1220.0,4880,0,0
0,0,0,0,0,1,0.699,595.0,762,0,0
0,2,55,0,0,0,2.200,900.0,0,0,0
2,1,0,0,0,0,1.201,50.0,0,0,0
0,0,0,0,0,1,1.200,335.0,3000,0,0
0,3,0,0,350,0,1.400,1310.0,0,0,0
0,0,0,0,0,1,0.800,610.0,762,0,0
0,0,0,0,0,0,4.000,610.0,0,2,0
1,1,0,0,0,1,0.500,610.0,762,0,0
0,1,0,60,0,0,2.800,610.0,0,2,0
0,1,0,0,0,0,0.799,1300.0,0,0,0
0,0,0,0,0,1,1.600,1500.0,612,0,0
0,0,0,0,0,1,1.200,609.9,4170,0,0
0,1,0,0,0,0,3.201,152.0,0,0,0
0,1,0,0,0,1,0.601,1320.0,4880,0,0
0,1,0,0,0,1,0.400,1320.0,4880,0,0
0,0,0,0,0,1,0.700,610.0,762,0,0
0,1,0,0,0,1,1.000,1320.0,762,0,0
0,1,0,80,0,1,1.600,1320.0,612,0,1
0,1,0,0,500,0,1.600,1525.0,0,0,0
0,0,0,0,0,1,2.000,610.0,4170,0,0
0,0,0,0,0,1,0.800,1300.0,762,0,0
1,1,0,0,0,1,0.600,610.0,300,0,0
0,1,0,0,0,1,0.699,1320.0,762,0,0
0,1,0,70,0,0,2.500,610.0,0,2,0
2,1,0,50,0,0,0.451,20.0,0,0,0
0,0,0,0,0,1,0.800,1500.0,4170,0,0
0,0,0,0,0,1,0.699,1320.0,761,0,0
0,1,0,0,0,1,3.201,1320.0,4880,0,0
0,1,0,0,0,1,0.600,300.1,762,0,0
0,1,4,0,0,0,0.500,25.0,0,0,0
0,0,0,0,0,0,3.500,1000.0,0,2,0
0,1,0,0,0,1,0.600,609.9,4880,0,0
0,1,0,70,0,0,0.800,50.0,0,0,0
0,0,0,0,0,0,1.600,1320.0,0,0,0
0,0,0,0,0,1,1.600,609.9,612,0,0
0,1,0,0,0,1,0.600,610.0,4170,0,0
0,1,0,50,0,0,3.200,610.0,0,0,0
0,1,0,70,0,0,0.600,610.0,0,0,0
0,1,0,45,0,0,0.700,1320.0,0,0,0
0,1,0,60,0,0,4.000,385.1,0,0,0
0,1,0,70,0,0,0.600,1320.0,0,2,0
0,2,45,0,0,0,2.200,640.0,0,0,0
0,1,0,0,0,0,0.699,20.0,0,0,0
0,1,0,0,0,0,0.699,1320.0,0,0,0
0,1,0,0,0,1,1.200,609.9,614,0,0
0,1,0,0,0,1,1.000,1320.0,4880,0,0
1,1,0,0,0,0,1.200,609.9,0,0,0
0,2,65,0,0,0,1.000,610.0,0,0,0
0,2,55,0,0,0,1.500,900.0,0,0,0
0,2,45,0,0,0,3.200,900.0,0,0,0
0,1,0,0,0,1,0.699,610.0,762,0,0
2,0,0,0,0,0,0.699,609.9,0,0,0
2,1,0,0,0,0,0.699,610.0,0,0,0
0,0,0,0,0,1,0.300,1320.0,762,0,0
0,5,0,0,310,1,2.501,1275.0,4880,0,0
2,1,0,85,0,1,1.000,1220.0,762,0,1
0,1,0,45,0,1,0.700,610.0,759,0,0
0,1,0,45,0,1,0.700,609.9,3000,0,0
0,1,0,85,0,1,3.200,200.1,4880,0,1
0,1,0,0,0,0,0.400,609.9,0,0,0
1,1,0,0,0,1,0.600,335.0,3000,0,0
2,1,0,50,0,1,0.600,1250.0,4880,0,0
0,0,0,0,0,1,0.700,1300.0,762,0,0
1,1,0,0,0,1,0.600,610.0,612,0,0
0,0,0,0,0,1,3.200,610.0,4880,0,0
0,1,0,0,0,0,0.600,609.0,0,0,0
2,1,0,85,0,1,1.200,1200.0,150,0,1
0,1,0,85,0,0,1.200,609.9,0,0,1
0,1,0,0,0,1,0.700,609.9,4170,0,0
0,0,0,0,0,1,1.599,1300.0,4880,0,0
0,1,0,0,0,0,0.699,20.0,0,0,0
0,0,0,0,0,0,0.699,1320.0,0,0,0
0,0,0,0,0,1,1.200,1320.0,4170,0,0
0,1,0,0,0,1,0.600,520.0,4880,0,0
0,1,0,0,0,0,0.300,610.0,0,0,0
0,1,0,0,0,1,0.600,610.0,4880,0,0
0,1,0,0,0,1,0.700,610.0,762,0,0
0,1,0,0,0,1,0.601,610.0,4880,0,0
0,1,0,0,0,0,0.600,609.9,0,0,0
0,1,0,45,0,1,0.300,519.9,762,0,0
0,0,0,0,0,0,1.000,75.0,0,0,0
0,2,55,0,0,0,2.300,900.0,0,1,0
0,1,0,0,0,1,0.300,610.0,4880,0,0
0,1,0,60,0,1,0.800,356.1,762,0,0
0,0,0,0,0,1,0.800,1300.0,4880,0,0
0,1,0,85,0,0,3.201,190.0,0,0,1
0,5,0,0,310,0,2.501,600.1,0,0,0
0,1,0,0,0,1,0.999,610.0,762,0,0
1,1,0,0,0,0,1.200,609.9,0,0,0
0,1,0,60,0,0,0.799,609.9,0,0,0
0,0,0,0,0,1,0.699,610.0,150,0,0
0,6,0,0,0,0,0.700,1320.0,0,0,0
0,2,45,0,0,0,1.500,640.0,0,0,0
0,1,0,0,500,0,1.600,610.0,0,0,0
0,0,0,0,0,1,3.200,1320.0,762,0,0
0,2,45,0,0,0,3.200,900.0,0,0,0
0,0,0,0,0,1,2.000,610.0,4170,0,0
0,2,65,0,0,0,1.000,610.0,0,0,0
0,2,65,0,0,0,2.300,640.0,0,1,0
0,0,0,0,0,1,1.600,610.0,612,0,0
0,0,0,0,0,1,0.800,610.0,762,0,0
0,1,0,0,0,1,0.600,520.0,762,0,0
2,1,0,0,0,0,0.800,609.9,0,0,0
1,1,0,0,0,0,1.600,600.1,0,0,0
0,6,0,0,0,1,0.800,1320.0,4880,0,0
0,0,0,0,0,1,1.601,610.0,762,0,0
0,0,0,0,0,1,0.700,1320.0,762,0,0
1,1,0,0,0,1,1.600,1220.0,612,0,0
0,1,0,45,0,1,0.699,610.0,4880,0,0
0,1,0,0,0,1,0.600,609.9,762,0,0
2,1,0,0,0,0,0.700,20.0,0,0,0
0,0,0,0,0,0,0.800,1320.0,0,0,0
0,0,0,0,0,0,0.800,609.9,0,0,0
0,1,0,0,0,0,0.601,610.0,0,0,0
0,0,0,0,0,1,0.800,610.0,762,0,0
0,5,0,0,310,1,1.599,1275.0,762,0,0
2,1,0,0,0,0,0.799,20.0,0,0,0
0,2,45,0,0,0,1.500,640.0,0,0,0
0,0,6,0,0,1,1.000,1320.0,762,0,0
0,0,0,0,0,1,1.599,610.0,762,0,0
